"","time","lon","lat","name"
"10608292",2018-07-30 02:00:23,7.7428433,48.079379,"Angela"
"10608414",2018-07-30 12:05:06,7.7658837,48.0875949,"Angela"
"10608512",2018-07-31 02:00:23,7.7510646,48.0951447,"Angela"
"10608633",2018-07-31 12:05:06,7.7639967,48.0732926,"Angela"
"10608731",2018-08-01 02:00:23,7.7627633,48.0914564,"Angela"
"10608852",2018-08-01 12:05:06,7.7583099,48.080736,"Angela"
"10608950",2018-08-02 02:00:23,7.7509014,48.0952549,"Angela"
"10609071",2018-08-02 12:05:06,7.7604437,48.0786519,"Angela"
"10609169",2018-08-03 02:00:23,7.8334177,48.0486451,"Angela"
"10609290",2018-08-03 12:05:09,7.7971263,48.0419895,"Angela"
"10609388",2018-08-04 02:00:23,7.8117669,48.0424187,"Angela"
"10609509",2018-08-04 12:05:06,7.796601,48.0437969,"Angela"
"10609607",2018-08-05 02:00:23,7.8334299,48.0486932,"Angela"
"10609728",2018-08-05 12:05:06,7.8431705,48.0641173,"Angela"
"10609826",2018-08-06 02:00:23,7.8334258,48.0486537,"Angela"
"10609947",2018-08-06 12:05:08,7.7816941,48.0402063,"Angela"
"10610045",2018-08-07 02:00:23,7.8117614,48.0424344,"Angela"
"10610166",2018-08-07 12:05:07,7.795333,48.0466073,"Angela"
"10610264",2018-08-08 02:00:23,7.8117396,48.0424489,"Angela"
"10610385",2018-08-08 12:05:07,7.8416117,48.0650591,"Angela"
"10610483",2018-08-09 02:00:23,7.8334145,48.0486568,"Angela"
"10610604",2018-08-09 12:05:06,7.7930178,48.0402742,"Angela"
"10610702",2018-08-10 02:00:22,7.8118337,48.0424109,"Angela"
"10610823",2018-08-10 12:05:06,7.2395363,47.6659542,"Angela"
"10610921",2018-08-11 02:00:23,7.8117955,48.0424612,"Angela"
"10611042",2018-08-11 12:05:06,7.7030239,47.9369533,"Angela"
"10611140",2018-08-12 02:00:23,7.7147945,47.9505539,"Angela"
"10611261",2018-08-12 12:05:06,7.1696282,47.4160529,"Angela"
"10611359",2018-08-13 02:00:23,7.5391573,47.1262691,"Angela"
"10611480",2018-08-13 12:05:06,7.5490262,47.120087,"Angela"
"10611578",2018-08-14 02:00:23,7.5391722,47.1262231,"Angela"
"10611699",2018-08-14 12:05:06,7.5596879,47.1094212,"Angela"
"10611797",2018-08-15 02:00:23,7.539187,47.1262041,"Angela"
"10611918",2018-08-15 12:05:06,6.1486824,46.3459639,"Angela"
"10612016",2018-08-16 02:00:23,4.7121603,44.4084401,"Angela"
"10612137",2018-08-16 12:05:07,4.0197893,43.6439327,"Angela"
"10612235",2018-08-17 02:00:23,3.578752,43.4671094,"Angela"
"10612356",2018-08-17 12:05:06,3.3371723,43.2757422,"Angela"
"10612454",2018-08-18 02:00:23,3.2109662,43.2493084,"Angela"
"10612575",2018-08-18 12:05:06,3.0150125,43.120847,"Angela"
"10612673",2018-08-19 02:00:23,3.0158923,43.1208659,"Angela"
